text,label,label_desc,translation
i can only feel sorry for us that the relationship didnt work out,0,sadness,Nakakaawa lamang tayong dalawa na hindi natuloy ang ating relasyon.
i want to express my feeling i dont know how to start it but seriously i feel so miserable right now love or friend,0,sadness,"Gusto kong ipahayag ang aking nararamdaman, hindi ko alam kung saan magsisimula pero totoo, sobrang malungkot ako ngayon, pag-ibig man o kaibigan."
i feel distraught worried panicked sick scared sad,4,fear,"Nararamdaman kong lubhang nalulungkot, kinakabahan, natatakot, at nasasaktan."
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,0,sadness,"Nagsimula akong makaramdam ng kawalan, at ito ay matapos kong uminom ng maraming juice at malaking halaga ng tubig. Ang tubig ay magpapaluwas lamang ng pakiramdam na busog sa loob ng ilang panahon, ngunit naging mabisa ito sa pagtanggal ng mga masamang lasa na aking pinilit sa aking bibig."
i do feel very angered though,3,anger,Nararamdaman ko ang malaking galit.
i feel the need to lend my hand in the loyal promotion of greg weismans baby in hopes that disney will some day pick it back up or at the very least sell the rest of the series on dvd,2,love,"Nararamdaman kong kailangan kong tumulong sa tapat na pagpapalaganap ng proyekto ni Greg Weisman, na may pag-asa na balang araw ay muling piliin ito ng Disney o kahit papaano ay ibenta ang natitirang bahagi ng serye sa DVD."
i watch movies set in the s and s i feel pangs of melancholy,0,sadness,"Pinapanood ko ang mga pelikula na nagaganap noong dekada s at s, at nararamdaman ko ang mga pag-aalinlangan ng kalungkutan."
i feel like i am going to throw up or something i hated that site soooo much,0,sadness,"Parang iiwan ko na ang laman ng aking sikmura o ano, sobrang ayaw ko sa site na iyon."
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,1,joy,Gumising ako noong Sabado na parang mas maliwanag ang pakiramdam at sobrang gustong lumabas matapos mag-isa at magdalamhati sa sarili buong araw ng Biyernes.
i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it,2,love,"May walang hanggang pag-asa, sabi niya, at nang dumating sila sa tulay, natuklasan niyang masyadong maganda ang pakiramdam ng ngiti sa kanyang mukha upang itago ito."
i feel and bruise my how was anybody to be punished,0,sadness,"Nararamdaman ko at nasasaktan ako, sino ang dapat parusahan?"
i woke up even more tired than the night before and feeling groggy,0,sadness,Gumising ako na mas pagod pa kaysa kagabi at parang antok pa rin.
i feeling irritable,3,anger,Nararamdaman kong mairrita.
i feel these kinds of emotional urges i try to identify their intellectual roots so i can understand them better,0,sadness,"Nararamdaman ko ang mga ganitong emosyonal na pagnanasa, sinusubukan kong tukuyin ang kanilang intelektwal na pinagmulan upang maunawaan ko sila nang mas mabuti."
i should probably mention so that you aren t feeling left out that the lunch was in celebration of the top participants of the take the lead speech competition another reason to enter the competition the food was delicious and the conversation was amusing,1,joy,Dapat kong banggitin para hindi ka makaramdam ng pag-iwan na ang tanghalian ay selebrasyon para sa mga nangungunang kalahok ng Take the Lead speech competition isa pang dahilan para sumali sa kompetisyon ang pagkain ay masarap at ang usapan ay nakakatuwa.
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,1,joy,Naramdaman ko na ang mga tao doon ay nagpapasalamat sa kanilang mga meron at marami ang masaya sa isang mataas na antas na hindi materyalista.
i realized that it s those goddamn fat ass greedy son of a bitches that made me feel so humiliated so alone and so ugly,0,sadness,"Napagtanto ko na sila, mga hayop na taba at sakim, ang nagpaparamdam sa akin na napahiya, nag-iisa, at pangit."
i feel as if it was a way of distracting me from my positive thoughts and i had to work really hard to switch my thoughts around today but i did it,1,joy,Nararamdaman kong parang para akong ilayo sa aking positibong mga iniisip at kailangan kong magsikap nang husto upang baguhin ang aking mga iniisip ngayon ngunit nagawa ko ito.
i can tell most of the time what shes really feeling and she was being really sincere,1,joy,"Karamihan sa mga oras, alam kong ano talaga ang nararamdaman niya at siya ay tunay na tapat."
i feel like mike is loyal and will always be loyal,2,love,Nararamdaman kong tapat si Mike at lagi siyang tatapat.
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,3,anger,Wala akong problema sa mga halata. Nag-Tsino ako sa kanila kahapon at hindi ako nagtatampo sa kanila.
i feel like im actually doing somewhat well with it and right now im getting my swing down,1,joy,Nararamdaman kong medyo maganda ang aking pag-unlad dito at ngayon ay unti-unting nakakakuha na ako ng aking ritmo.
i feel i m being punished for too many thoughtless years of assuming that the trappings of success were earned and not given,0,sadness,Nararamdaman kong pinarusahan ako para sa napakaraming taong walang pag-iisip na nag-aakalang ang mga palamuti ng tagumpay ay kinikita at hindi ibinibigay.
i feel like i have to dumb myself down in order to communicate effectively,0,sadness,Parang kailangan kong pababain ang aking katalinuhan para makapag-usap nang maayos.
i still feel quite loyal in other views on the conservative side,2,love,Nanatili pa rin akong medyo tapat sa iba pang pananaw sa panig ng konserbatibo.
i guess i am just feeling slightly shaken at this sudden news,4,fear,"Siguro, medyo nabigla lang ako sa biglang balita."
i still feel funny,4,fear,Parang may kakaiba pa rin akong nararamdaman.
im tired of feeling troubled stressed up feeling down and falling sick,0,sadness,"Pagod na ako sa pakiramdam na nababahala, stressed, malungkot, at madalas magkasakit."
i felt a bit bad about killing but it always feels like a chore that simply distracted from exploration,3,anger,"Naramdaman ko ang kaunting pagsisisi sa pagpatay, ngunit lagi itong parang isang gawain na nagpapawalang-pansin sa pagtuklas."
i wont be so sure to feel optimistic about this either,1,joy,Hindi ako sigurado kung magiging optimistiko ako tungkol dito.
i feel bad about being depressed because theres still a part of me that wants to believe that i can think my way out of this then i feel bad about wanting to starve so i do the opposite,0,sadness,"Nakakaramdam ako ng kasalanan dahil sa depresyon ko dahil may bahagi pa rin sa akin na gustong maniwala na kaya kong isipin ang aking paraan palabas nito, saka ako nakakaramdam ng kasalanan dahil sa pagnanais kong mag-ayuno kaya naman ginagawa ko ang kabaligtaran."
i feel like im worthless,0,sadness,Parang wala akong halaga.
i feel too much but i don t care no i don t careeeeee i don t care by savage garden your three plans for tomorrow,3,anger,"Nararamdaman ko nang sobra pero hindi ako nag-aalala, hindi, hindi ako nag-aalala, hindi ako nag-aalala sa Savage Garden, ang iyong tatlong plano para bukas."
i was left feeling a little delicate but thoughtful,2,love,Nadama kong medyo mahina ngunit puno ng pag-iisip.
i can feel myself agitated now so im going to have to leave work in a sec,3,anger,Nararamdaman ko na ang aking pag-aalala ngayon kaya kailangan kong umalis sa trabaho sa lalong madaling panahon.
after receiving the grade on the paper mentioned in fear,0,sadness,"matapos makatanggap ng grado sa papel na nabanggit, kinabahan."
i cant help but feel a little jubilant as i walk through the arrivals gate,1,joy,Hindi ko mapigilan ang maramdaman ang kaunting kagalakan habang naglalakad ako sa gate ng pagdating.
i thought it might and it makes my hair feel lovely and silky,2,love,Akala ko kaya pala at nagiging makinis at makintab ang aking buhok.
i could elaborate how ww is a plan that gives you freedom and boundaries without feeling deprived and how finding your nitche in moving and sweating makes all the difference or the nuts of bolts of the day in and day out choices my story my struggle goes deep into the core,0,sadness,"Maaari kong ipaliwanag kung paano ang WW ay isang plano na nagbibigay sa iyo ng kalayaan at hangganan nang hindi ka nadarama'y kulang at kung paano ang paghahanap ng iyong lugar sa paggalaw at pagpapawis ay nagdudulot ng malaking pagkakaiba o ang mga detalye ng araw-araw na mga pagpipilian. Ang aking kwento, ang aking pakikibaka, ay tumatagos sa pinakakilalang bahagi."
i imagine how would it feel to hold you nothing perverse just to know you to feel the heat of your breathe moving through me your feet tangled with mine,0,sadness,"Iniisip ko kung paano ang pakiramdam na hawakan ka, wala namang masama, basta para malaman ka, maramdaman ang init ng iyong hininga na dumadaan sa akin, ang iyong mga paa na nakakabit sa akin."
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,1,joy,"Naramdaman kong nabigo ang mga batang lalaki dahil hindi sila nakasali sa lahat ng nakakatuwang libangan sa bahay para sa mga bata, ngunit ngayon, parang nakakuha sila ng mahalagang pagkakataon na maging malapit at pamilyar sa kalikasan."
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,1,joy,"Alam kong tapat ang nararamdaman niya sa akin kaya kayang tanggapin ko ang mga maliit na gulo, ngunit hindi ko kayang tiisin ang kanyang ugali sa pagsasagawa ng buhay sekswal ng mag-asawa."
i was just yesterday feeling uncomfortable with highschool sigh,4,fear,"Kahapon lang ako, hindi ko maalis ang pag-aalinlangan tungkol sa high school, ah."
i am already feeling heartbroken and alone again,0,sadness,Nasasaktan na naman ako at parang nag-iisa.
i don t know what i want in my life at the moment and even though things are really good and stable in many ways i still don t feel content with it,1,joy,"Hindi ko alam kung ano ang gusto ko sa buhay ko ngayon, at kahit na maganda at matatag ang mga bagay sa maraming paraan, hindi pa rin ako nasiyahan dito."
i feel like these were pretty productive days although i couldve cut back on the thinking as usual,1,joy,Nararamdaman kong produktibo ang mga araw na ito kahit na pwede kong bawasan ang pag-iisip gaya ng dati.
i feel angry man named muaz,3,anger,Nararamdaman kong galit ang isang lalaking si Muaz.
i love how i can feel totally distressed and hopeless but when i put on a bright eyes record or something all of a sudden i have this realization that there is more to life than the shit i worry about,4,fear,"Mahal ko kung paano ko mararamdaman ang ganap na pagkabalisa at kawalan ng pag-asa, ngunit kapag inilagay ko ang isang record ng Bright Eyes o anumang bagay, biglang may pag-unawa akong may higit pa sa buhay kaysa sa mga bagay na aking iniisip."
i was abruptly reminded of why i was feeling so agitated in la,4,fear,Bigla akong naalala kung bakit ako sobrang nagagalit sa LA.
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,1,joy,"Nararamdaman kong kahanga-hanga, halos normal lang. Pupunta ako sa isang pre-Thanksgiving celebration kasama ang mga kaibigan namin noong tayo ay nasa softball."
i feel very peaceful about the whole situation,1,joy,Napakakalma ko sa buong sitwasyon.
i feel invigorated by the,1,joy,Nararamdaman kong nabubuhay muli ang aking enerhiya.
i went miles and it wasnt that i felt tired but i noticed that my bottom parts or the front of my pelvic bone was feeling numb and sore,0,sadness,"Naglakad ako ng malayo at hindi dahil sa pagod, ngunit napansin kong ang aking mga ibaba o harapan ng aking buto ng pelvis ay parang nababalot at nasasakit."
im getting there but i really do feel dazed and confused at the moment,4,fear,Nakakarating na ako pero tunay na nararamdaman ko ang pagkalito at pagkalasing sa ngayon.
i also like to share my happiness by spreading a smile at work sometimes i feel like the people i work for are a bit uptight so its nice to add some chatter to lighten the mood,4,fear,"Gustung-gusto ko ring ibahagi ang aking kagalakan sa pamamagitan ng pagpapalaganap ng ngiti sa trabaho. Minsan, parang mga taong aking sinusunod ay medyo seryoso kaya maganda na magdagdag ng kaunting kwentuhan upang mapagaan ang pakiramdam."
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,3,anger,Ako ang nagsilbing emcee sa isang partido at lahat ng aking pagsisikap na simulan ang palabas ay pinigilan ng katahimikan.
i feel so resentful about having to take care of us and not getting to do what i want to do,3,anger,Nararamdaman kong sobrang nagagalit ako dahil kailangan kong alagaan tayo at hindi ko magawa ang mga gusto kong gawin.
i feel every part of me agitated by the reality of the kingdom walk the talk,3,anger,"Nararamdaman kong bawat bahagi ng aking katawan ay nag-aagaw dahil sa katotohanan ng paglalakad ng kaharian, pagsasabuhay ng salita."
i have gained lbs back and i feel terrible about it,0,sadness,Nakabalik na ang mga kinain kong pounds at nararamdaman kong masama ang pakiramdam ko tungkol dito.
i dont say anything because i dont want to cause a fuss and i hate it when people feel sorry for me,0,sadness,Hindi ako nagsasalita dahil ayaw kong magdulot ng gulo at ayaw ko rin kapag nakaramdam ng awa ang mga tao sa akin.
im feeling so excited and eager,1,joy,Sobrang excited at nag-aantay na ako.
i feel really listless right now,0,sadness,Napakasawang-sawa ko ngayon.
i feel pathetic at times because,0,sadness,Nararamdaman kong nakakahiya minsan dahil
i feel very discontent right now,0,sadness,Nararamdaman kong lubhang hindi kontento ngayon.
i learned what its truely like to feel and be submissive,0,sadness,Natutuhan ko kung ano ang tunay na pakiramdam at maging sumusunod.
i feel pathetic because i feel like you never once called me your bestfriend and i just continued to call you my bff and i just get treated like a friend,0,sadness,"Nararamdaman kong napahiya ako dahil parang hindi mo ako minsan tinawag na bestfriend at ako'y patuloy na tumatawag sa iyo na bff ko, ngunit parang kaibigan lang ang trato mo sa akin."
i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me,4,fear,"Pumasok ako sa Coeur d'Alene, nakapaligid ako sa kanila at kakaiba ang pakiramdam na tingnan sila at isipin na lahat ng mga tao ay talagang kasing-gaga ko."
i just wanted to write this post because i m sure like myself there are many of us struggling with the same problem feeling deprived and isolated on such a restricted program but i hope you realize that you are doing it to yourself and you don t have to feel that way at all,0,sadness,"Gusto ko lang isulat ito dahil tiyak akong gaya ko, marami sa atin ang nakakaranas ng parehong problema, nadarama ang kakulangan at pag-iisa sa ganitong limitadong programa, ngunit sana maintindihan ninyo na ginagawa ninyo ito sa inyong sarili at hindi ninyo kailangang maramdaman iyon."
i still feel so agitated,3,anger,Parang hindi pa rin ako mapakali.
i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough,3,anger,"Nararamdaman kong hindi ako nasiyahan at kahit gaano ako kasungit o gaano ko i-center ang sarili ko sa Sabado, hindi pa rin sapat."
i feel something about physically seeing your problems where the hurt stems from seems to be very therapeutic,0,sadness,"Nararamdaman kong may kakaiba sa pagtingin nang pisikal sa pinagmumulan ng iyong sakit, parang nakakatulong ito sa pagpapagaling."
i just like spoiler cuts they make me feel simultaneously badass and considerate,1,joy,"Gustung-gusto ko lang ang spoiler cuts, parang ginagawa nila akong badass at mapag-isip sa parehong oras."
im feeling a little smug too im usually running late for whatever im planning to d,1,joy,"Nararamdaman ko rin ang kaunting pagmamalaki, dahil karaniwan akong huli sa mga plano ko."
i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming,1,joy,"Naging karanasan ko na ang mga lugar kung saan hindi ako nakaramdam ng pagtanggap, kaya't pinili kong pumunta sa ibang lugar kung saan naramdaman ko ang pagiging mapagpatuloy."
i feel amazed i can compress my difficulty so neatly into one sentence,4,fear,Nakakagulat na kaya kong i-compress ang aking kahirapan sa isang maikling pangungusap.
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,4,fear,"Mayroon akong pakiramdam ng seguridad tungkol sa mga karakter na gustong gampanan, ngunit natatakot ako na hindi magaling ang iba kung sila ang kukuha ng papel."
i feel like no other day should be less valuable than another because of a certain event is going to happen,1,joy,Nararamdaman kong walang araw na dapat mas mababa ang halaga kaysa sa iba dahil may mangyayaring partikular na pangyayari.
i loathe stuffed animals they make me feel a bit violent and i have been known to punch them,3,anger,"Ayaw ko ng mga plushie, parang gusto kong suntukin sila at minsan nga ay nagpupunch ako sa kanila."
i feel extraordinarily lively,1,joy,Nararamdaman kong kakaibang masigla.
i still feel incredibly frustrated by it,3,anger,Parang hindi pa rin mawala ang sobrang pagkabigo ko dito.
i feel sympathetic toward him he is always suffering through a million responsibilities,2,love,"Nakaramdam ako ng awa sa kanya, lagi siyang nagdurusa dahil sa milyong responsibilidad."
i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered,1,joy,"Pinilit akong mag-isip na dumalo sa kaganapan dahil sa pangako ng libreng champagne, alam mo naman ako, at isang mahusay na talumpati ng best-selling author na si Kathy Lette, ngunit umalis akong tunay na inspirasyon at empowred."
i feel as i did when i was troubled easily agitated and indecisive,0,sadness,"Nararamdaman ko ang aking sarili noong ako ay madaling nababahala, madaling kinakabahan, at hindi makapagpasya."
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,0,sadness,Mayroon akong pakiramdam na ang seksuwal na fobiya niya ay bunga ng pag-abuso seksual na naranasan niya mula sa kanyang kapatid noong siya ay bata pa.
i feel content just because of the weather,1,joy,Masaya ako dahil lang sa panahon.
i tend to feel too empathtic and too remorseful and guilty even about shit i am not a part of,0,sadness,"Madalas akong maramdaman ang sobrang empatiya at pagsisisi, kahit sa mga bagay na hindi ko kinalaman."
i started to feel some dull cramps that lasted for about two hours i thought maybe the babies didnt like mexican which is cray cray because its my favorite,0,sadness,"Nagsimula akong maramdaman ang mga banayad na pananakit na tumagal ng halos dalawang oras. Akala ko baka ayaw ng mga sanggol sa Mexican, na talagang kakaiba dahil iyon ang paborito ko."
i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret,2,love,"Parang binubuhay ko muli ang prequel, isa pang Jedi queen na nasa romantikong relasyon at sinusubukang itago ito."
i am at work today in my new job still feels really strange tbh but i m sure i ll soon settle in,4,fear,"Nandito ako sa trabaho ngayon sa aking bagong trabaho, kakaiba pa rin ang pakiramdam tbh pero sigurado akong malalampasan ko rin ito."
i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant,0,sadness,"Akala ko sigurado na siya hindi biktima, tapos magiging malungkot siya kung talagang buntis siya."
i feel the echoes of the divine so very close,1,joy,Nararamdaman ko ang mga alingawngaw ng diyos na napakalapit.
i finished it feeling amazing,1,joy,Nakaramdam ako ng kahanga-hanga pagkatapos matapos ko ito.
i feel so bad to have slacked of on my health but now i need to make the time,0,sadness,Napakasama kong pakiramdam dahil nabigo akong alagaan ang aking kalusugan ngunit ngayon kailangan kong maglaan ng oras.
i feel so special when im wearing this front,1,joy,Nararamdaman kong espesyal kapag suot ko ito sa harapan.
i can totally sympathize with everyone here who doesn t speak native english as i feel like a brain damaged five year old whenever i try to speak japanese for any length of time,0,sadness,Ganap akong nakakaunawa sa lahat dito na hindi nagsasalita ng katutubong Ingles dahil parang batang limang taong may pinsala sa utak kapag sinusubukan kong magsalita ng Hapones nang matagal.
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,1,joy,"Nakita ko ito habang naghahanap ng isang magandang kasabihan para idagdag sa mga imbitasyon ng pagbabago ng address, habang nagpaplano at nakaramdam ng positibo."
i had and not having any lingering feelings nor longing for anyone,2,love,Wala akong natitirang nararamdaman o pagnanasa para sa kahit sino.
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,4,fear,Napakasama ng linggong nakalipas ko kaya hanggang ngayon ay parang nagagalit pa ako at parang hindi ko naranasan ang araw na gusto ko.
ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing,1,joy,Nawala ang ilang libra ko mula noong Enero ng taong ito at ngayon may masamang bahagi sa akin na sobrang gustong subukan ang mga bagong damit at sabihin sa aking sarili na nararapat akong magkaroon ng mga bagong damit.
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,4,fear,Kinikilala ko na hindi ako tunay na mataba sa kahulugan ngunit nararamdaman ang kakulangan sa ginhawa sa aking katawan.
i quite often get up feeling groggy but after meditating and having a fresh juice i feel as good as new,0,sadness,"Madalas akong gumising na parang antok pa pero pagkatapos mag-meditate at uminom ng sariwang juice, parang bago na ako."
i am feeling so honoured to be a,1,joy,Lubos akong nabighani na maging isa.
ive been feeling the demands of my three beloved males pushing and pulling spinning me around as i dance to the beat of their drum,1,joy,Nararamdaman ko ang pagpupursige ng tatlong mahal kong lalaki na parang hinihila at pinipilit akong sumayaw sa kanilang ritmo.
i feel like in order to live a compassionate life this is an essential piece of the puzzle for me,2,love,Nararamdaman kong mahalaga itong bahagi ng palaisipan para sa akin upang mabuhay ng may malasakit.
i still feel the tender touch of a hand in mine,2,love,Nararamdaman ko pa rin ang malambot na paghawak ng kamay sa akin.
i learned my lesson and would never repeat my mistake i ve seen real child abuse and still do not feel that i abused my child,0,sadness,Natutuhan ko ang aral at hindi ko na uulitin ang aking pagkakamali. Nakita ko ang tunay na pang-aabuso sa bata at hindi pa rin ako nakakaramdam na ako ay gumawa ng pang-aabuso sa aking anak.
i feel so blessed that i am able to leave there,1,joy,Nararamdaman kong sobrang biyaya na makalaya doon.
i now feel so determined to smash round and really give her something to be proud of,1,joy,"Ngayon, nararamdaman kong lubos ang aking determinasyon na talunin ang laban at ibigay sa kanya ang dahilan upang maging mapagmamalaki."
i feel like i cant handle this deployment or that i am miserable,0,sadness,Parang hindi ko kaya itong deployment na ito o parang nabibigo ako.
i feel so beaten down by the constant anxiety and frustration of looking for word and being constantly disappointed,0,sadness,Napakasakit ng pakiramdam na palagi akong nababagsak ng paulit-ulit na pag-aalala at pagkabigo sa paghahanap ng trabaho.
i feel like i am not very smart,1,joy,Parang hindi ako gaanong matalino.
i feel guilt that i was cranky last night and didn t fully embrace my evening alone with the boy,3,anger,Nararamdaman kong may sala ako dahil nag-ungol ako kagabi at hindi lubos na tinanggap ang aking gabi mag-isa kasama ang bata.
i already feel like ive been accepted into the community here,1,joy,Nararamdaman ko na parang tinanggap na ako sa komunidad dito.
i confess to feeling a bit nervous now though there are some very talented people in the group,4,fear,Nag-aamin ako na medyo kinakabahan ako ngayon kahit na may mga napakatalentado sa grupo.
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,3,anger,"Hindi ko inaasahan na magiging ganito ako kasira sa nikotina bago ko naranasan ang lahat ng sintomas ng pagtigil, parang nagagalit at sobrang stressed, nagkakasiraan ng bait dahil sa mga pagnanasa, hindi makapag-concentrate, tuyo ang bibig, mahirap matulog, gising ako tuwing gabi."
i am wondering if i am feeling brave enough to make them for gifts,1,joy,Nagtataka ako kung sapat na ang aking tapang para gawin silang regalo.
i am simply to realize that master homis knows best and if he feels there is too much going on he will step in and help with some tasks that i perform and i am not to become distressed about this,4,fear,"Napagtanto ko lamang na si Master Homis ang nakakaalam ng pinakamabuti at kung siya ay mararamdaman na masyadong maraming nangyayari, siya ay makikialam at tutulong sa ilang gawain na aking ginagawa, at hindi ako dapat mag-alala tungkol dito."
i feel so pissed about myself,3,anger,Napaka-inis ko sa sarili ko.
i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,1,joy,"Sana magising ako at mahanap ang kapayapaan, makita ang mga batang lumilipad ng saranggola, hawakan ang pag-asa at hindi lamang maramdaman kundi matikman kung gaano kaganda ang lasa ng isang apat na titik na salita na magbibigay sa akin ng kalinga na kailangan ko."
i feel that im not talented in baking,1,joy,Nararamdaman kong hindi ako may talento sa pagluluto ng tinapay.
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,4,fear,"Nararamdaman ko pa rin na inaasahan ko mula sa kanya ang mga piraso ng mundo, ngunit natatakot akong lumapit at ilagay muli ang mga inaasahan ko sa kanya sa takot na baka siya'y magdisappoint sa akin."
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,4,fear,"Nagawang kumain ako ng higit pa sa aking karaniwang kakayahan noong umaga ng karera, halos dahil si Jon ay naroon at hindi ako gaanong kinakabahan."
i see jacque i feel extremely guilty because she still hasn t forgiven me,0,sadness,"Nakikita ko si Jacque, at sobrang nahihiya ako dahil hindi pa niya ako pinatawad."
i started off feeling rather cranky and grumpy and ultimately ordinary then there was a little facebook flash from my cousin in west meath and suddenly we were pinging bad jokes and naughty stories about rudolph valentino performing unspeakable acts back and forth and it felt like a party,3,anger,"Nagsimula akong mag-isip na medyo maungol at mapagtabuyan, at sa huli ay ordinaryo, ngunit may isang maliit na flash sa Facebook mula sa aking pinsan sa Westmeath, at biglang nagpapalitan kami ng masamang biro at nakakapang-akit na kwento tungkol kay Rudolph Valentino na gumagawa ng hindi makatwirang mga bagay, at parang isang partido ito."
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,3,anger,"Parang ini-engineer nila ang mga sitwasyon na magdudulot ng kaawayan, gaya ng mga giyera, pagsubok ng mga misil, pagbagsak ng mga espya plane, at iba pa, dahil karamihan sa kanila ay may XY chromosome at dahil siguro ay nag-aantok na sila."
i have come off conquerer others i feel i have missed the mark or perhaps the lesson that i was suppose to learn,0,sadness,"Dumating ako bilang mananakop, ngunit nararamdaman kong hindi ko natamo ang aking layunin o marahil ang aral na dapat kong matutuhan."
