text,label,label_desc,translation
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,joy,Napakasakit sa akin kapag may taong walang hiya ang nagbibiro at nagpapahiya sa amin.
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,sadness,"Napakabigo ko, kailangan na nating magnakaw sa si Peter para bayaran si Paul para makuha ang ating baka ngayong taon, pero hindi natin kayang hindi makuha ang baka sa ganitong paraan."
i was feeling listless from the need of new things something different,0,sadness,"Nararamdaman kong walang gana dahil sa pangangailangan ng mga bagong bagay, ng kakaiba."
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,joy,"Nawala ang aking espesyal na isipan ngunit huwag mag-alala, nasa katinuan pa rin ako. Gusto ko lang maramdaman mo ang naramdaman ko habang binabasa ang aklat na ito. Hindi ko alam kung ilang beses sinabi na espesyal si Sam, ngunit matitiyak kitang mas marami iyon kaysa sa ginamit ko sa talata. Sinabi ko na ba sa iyo na siya ay espesyal?"
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,love,Hindi ko makalimutan ang malungkot na pakiramdam na gustong-gusto kong tanggapin dito sa aking unang tahanan.
on a boat trip to denmark,1,joy,sa isang paglalakbay sa bangka patungong Denmark
i stopped feeling cold and began feeling hot,3,anger,Tumigil na akong makaramdam ng lamig at nagsimulang maramdaman ang init.
i need to feel the dough to make sure its just perfect,1,joy,Kailangan kong maramdaman ang masa upang matiyak na perpekto ito.
i found myself feeling a little discouraged that morning,0,sadness,Nadama kong medyo nabigo ako noong umaga.
i feel selfish and spoiled,3,anger,Nararamdaman kong makasarili at mapagmataas.
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,fear,"Nahirapan ako nang kaunti habang sumusulat, hindi sigurado kung saan ako patungo sa kwento nang hindi sinasadya."
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,joy,"""Tingnan mo, sino ang umiiyak ngayon, Jacynthe? Mukhang maganda at pakiramdam ay maganda, RuPaul. Ang balat, ang gunting ng mga kapatid na babae, Valentine ang araw, nagagalit na si Kayle. Sino ang iyong ama, Gerling? Gisingin ang hindi mabait."""
i feel you know basically like a fake in the realm of science fiction,0,sadness,Nararamdaman ko na parang pekeng tao sa mundo ng science fiction.
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,sadness,Ayaw kong mabuhay sa ilalim ng bubong ng aking ama dahil ginagamit niya ito bilang dahilan upang maging isang pasaway sa akin dahil siya ang nagbibigay para mabuhay ako rito. Iniisip ko na kailangan niyang gawing kapos hangga't maaari ang aking pagtanggap upang umalis ako.
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,4,fear,Lagi akong nakakaramdam ng kasiyahan at pagkagulat sa kanyang pagiging mapagkalinga at kakayahang umangkop sa mga bagong sitwasyon.
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,joy,"Nararamdaman kong kung magkakaroon pa ako ng masiglang sekswal na aktibidad sa mga darating na araw, baka magsimulang mahulog ang ilang bahagi ng katawan ko."
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,joy,"Nararamdaman ko ang maamong, mainit, at mapagmahal na ngiti ng aking ina habang binibigay ko ang oras upang alagaan at gumaling ang aking sarili."
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,joy,"Nararamdaman kong sa kanilang pag-uusap, ang kapatid ng asawa ay sobrang sikat, ang hindi ko akalaing magiging matitigas."
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,love,"Kumain ako at naramdaman ko ang isang banayad na kiliti sa buong katawan, parang nararamdaman ko ang pagpapagaling sa antas ng mga selula."
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,fear,"Nararamdaman kong pinipilit tayo na maging bata, maganda, payat, at depende sa uso, magpa-rejuvenate o magpa-implant ng puwet."
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,fear,"Nagsimula akong maranasan ito nang ilang beses bawat linggo, na parang pinagdurusa ng mga halusinasyon na gumagalaw na tao at mga pigura, tunog, at mga pagyanig."
i am now nearly finished the week detox and i feel amazing,4,fear,Malapit na akong matapos ang linggong detox at sobrang ganda ng pakiramdam ko.
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,anger,"Nararamdaman kong makasarili habang binabasa ko ang aking mga lumang post dahil hindi ko kailanman humingi ng dasal para sa iba, at hindi ko naisip na maaaring may iba pang nangangailangan ng kanilang mga dasal na masunod bago ang akin."
i know the pain parents feel when an enraged child becomes violent,3,anger,Alam ko ang sakit na nararamdaman ng mga magulang kapag ang isang galit na bata ay nagiging marahas.
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,sadness,Nakaranas ako ng pag-ikot ng damdamin dahil sa mga nararamdamang hindi magandang bagay na darating.
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,love,"Sa tingin ko, kailangan kong ibahagi ang aking sariling katotohanan. Hindi ako gaanong naniniwala kamakailan, mas maraming pag-aalinlangan at kawalan ng katiyakan ang aking nararamdaman kaysa pananampalataya."
i was feeling brave when i bought it and clearly when i was doing my makeup,1,joy,Naramdaman kong matapang noong bumili ako nito at malinaw na noong nag-aayos ako ng aking make-up.
i am feeling miserable but c i am also the proudest mum on earth,0,sadness,Masakit ang pakiramdam ko ngunit ako rin ang pinakamapagmamalaking ina sa mundo.
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,sadness,"Akala ko mahal kami ng pamilya ko kahit ano pa mangyari, pero kapag nasa iba, nahihiya ako kapag nagagalit si Michelle nang sobra."
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,joy,"Hindi ko naman sinasabi na kailangan ang mga ""f bombs"" at seks sa lahat ng kwento, pero nakakapang-aliw para sa akin na makita sila sa mga nalimbag na magasin."
i can feel my ovaries aching talking to me as i like to put it,0,sadness,"Nararamdaman kong sumasakit ang aking mga ovario habang nag-uusap tayo, gaya ng aking tawag dito."
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,sadness,"Hindi ako gaanong gustong gumawa ng marami, si Chris at ako ay halos puro lang kumuha ng maraming litrato ng mga hindi gaanong mahalagang bagay."
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,sadness,"Pagod na ako sa libro at handa nang alisin ito dito, at nalaman kong ibinigay sa akin ang mga hindi angkop na larawan at saka ako pinabayaan para sa resulta ay hindi maganda."
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,joy,"Matagumpay kong na-stretch ang isang mxm canvas, at nararamdaman kong ito ay isang tagumpay para sa akin, at isang sulit na paggasta ng aking pera at oras. Gagamitin ko ang canvas para sa mga susunod na proyekto."
i think feelings are one of nay the most important things we have,1,joy,"Sa palagay ko, ang damdamin ay isa sa pinakamahalagang bagay na ating taglay."
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,joy,"Napakalaking karangalan para sa akin na maging inspirasyon sa batang, may talento, buong buhay, at magandang babae."
i feel angered and firey,3,anger,Nararamdaman kong galit at mainit ang ulo.
i feel like a miserable piece of garbage,0,sadness,Parang isang basura akong nabubuhay.
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,anger,"Parang kailangan kong gumawa ng listahan, baka matakot si Leanne sa ideya para siguradong hindi ko makalimutan ang kahit ano."
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,anger,Dinala ko si Dannika sa paaralan. Naramdaman kong medyo nagmamadali ako at ito ang bumungad sa akin nang liko ako.
i remember feeling so hellip furious with the shooter,3,anger,Naalala ko ang pagiging napakalakas ng galit ko sa barilero.
i feel very happy and excited since i learned so many things,1,joy,Napakasaya at nakakakilig dahil natutunan ko ang maraming bagay.
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,joy,"Nararamdaman kong sa mga palabas at paligid ng mga kabayong palabas, ang mga tao ay nagtitiwala at nakakarelaks dahil karamihan sa mga kabayong palabas ay ligtas at tahimik at madalas na inaalagaan."
i only have a couple of things left to make and at the start of december i am done and feeling smug,1,joy,"May ilang bagay pa lamang akong kailangang gawin at sa simula ng Disyembre, tapos na ako at nararamdaman ang pagmamalaki."
i think about how u could make me feel and realize that everything will be ok,1,joy,Iniisip ko kung paano mo ako mapaparamdam at mapagtanto na lahat ay magiging maayos.
i feel so worthless during those times i was struggling finding work,0,sadness,Nararamdaman kong walang halaga noon habang naghihirap akong maghanap ng trabaho.
i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,fear,Makakahiga ako sa aking kama sa dilim at hindi matatakot kahit sandali man lang.
i was ready to meet mom in the airport and feel her ever supportive arms around me,2,love,Handang-handa na akong salubungin ang nanay sa paliparan at maramdaman ang kanyang palaging mapagkalingang yakap.
im feeling bitter today my mood has been strange the entire day so i guess its that,3,anger,"Masama ang pakiramdam ko ngayon, kakaiba ang aking kalooban buong araw kaya siguro iyon."
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,sadness,"Nang namatay ang kapatid ng aking ina matapos makasangkot sa aksidente sa kalsada, dala niya ang regalo para sa akin dahil nakapasa ako sa aking Form Five exams nang may mataas na marka."
i am letting go of the animosity that is towards anyone that i feel has wronged me,3,anger,Pinapalaya ko ang galit na nararamdaman ko laban sa sinuman na sa tingin ko ay nagkasala sa akin.
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,love,"Kausap ko ang mga aso dahil sa tingin ko hindi nila maintindihan ang mga salita ngunit marunong silang basahin ang emosyon at alam nilang maging mapagkalinga, kaya nagpasya akong umuwi."
i feel like throwing away the shitty piece of shit paper,0,sadness,Gusto kong itapon ang putang-inang papel na ito.
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,joy,"Nagsisimula akong maramdaman ang isang kakaibang uri ng kasiyahan sa nakakatawang, ngunit simpleng, kalokohan ng buhay ko ngayon."
i find every body beautiful and only want people to feel vital in their bodies,1,joy,Nakikita kong maganda ang bawat katawan at nais ko lamang na maramdaman ng mga tao ang kanilang buhay at sigla sa kanilang mga katawan.
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,sadness,"Naririnig ko ang mga may-ari na nadaramaang biktima ng kanilang mga asosasyon, ng mga abogado ng asosasyon, o ng property manager."
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,anger,"Paalam na ako sa pamilya, lahat sila malungkot at umiiyak, at parang isang walang puso akong babae dahil, oo, medyo excited ako na lumipad ng unang beses at siyempre, mag-stay ng isang taon sa ibang bansa."
i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,love,Hindi ko hahayaang umiyak ang aking anak nang mag-isa dahil nararamdaman kong ang pagmamahal sa kanya at kay Lily noong sila'y maliit ay mga pagkakataon lamang na matagal nang lumipas sa mga maikling buwan na iyon.
i alba i feel good and im fitting in,1,joy,Masaya ako at parang nababagay ako dito.
i feel excited about what im doing again i feel like i have a ton of catching up to do,1,joy,"Nakakakilig na muli akong makaramdam ng kilig sa ginagawa ko, parang marami akong dapat abutin."
i also know how good it feels to look back and see that i honored my word and that helps from the start,1,joy,Alam ko rin kung gaano kaganda ang pakiramdam na tumingin pabalik at makita na ipinagmalaki ko ang aking salita at iyon ang nagbibigay lakas mula simula pa.
i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,sadness,"Talagang sobrang hirap ng pagsisikap para maabot ang ganitong mataas na teknikal na kasanayan sa wushu, parang nahihiya ako pero sa isang banda, nakakamotivate na makita ang mga bata na nagpe-perform ng wushu nang buong puso kahit pagod na sila."
i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,joy,"Nararamdaman kong medyo nakakabigat na ang mga bagay, ilang spritz nito ay tunay na nakakatulong para mapakalma at maibsan ang aking pagkabalisa."
i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,joy,"Sana'y mapagtanto mo na napakaliit lamang ng pagsisikap na kailangan upang mapasaya ang isang tao tungkol sa kanilang sarili o sa kanilang kalagayan, maging ako, isang kamag-anak, isang kaibigan mula sa kolehiyo o hayskul, isang kapitbahay sa kalye, o kahit isang estranghero."
i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,joy,Nararamdaman kong sobrang pista ngayon kaya itatayo ko na ang puno pagkatapos kong matapos ito at maka-update sa mga nangyari sa Coronation Street ngayong linggo.
finding out that i am not ill not seriously,1,joy,nalaman kong hindi ako malubhang may sakit.
i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,sadness,"Nakakuha ako ng maayos na marka sa klase, pero ang kombinasyon ng pakiramdam na hindi matagumpay, ang pagiging inaapi, ang stress ng huli, at ang aking masamang linggo ay nagresulta sa halos pag-iyak ko pagkatapos kong matapos ang grappling."
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,joy,Nararamdaman ko na bihira itong nagpapaunlad ng anumang makabuluhang dahilan at lagi akong sumusunod sa patakaran na huwag mag-post ng anumang bagay online na hindi ko handang sabihin sa harapan ng isang tao.
i am feeling all useful,1,joy,Nararamdaman kong lahat ay kapaki-pakinabang.
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,2,love,Nararamdaman kong may ilan sa inyo na may sakit at hindi kayang isipin ang maging masigasig tungkol sa grupo o sa ideya na nagdudulot ng sakit.
i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,sadness,"Nararamdaman kong pangit ako, mas gusto kong magsuot ng lusak na jeans at sweatshirt kaysa sa magandang damit, bagama't baka isuot ko pa rin ang sapatos na may takong sa loob ng bahay para kaunti nang mapataas ang aking pagpapahalaga sa sarili, ngunit tiyak na hindi ako mag-aaksaya ng pera para bumili ng bago."
im not feeling homesick yet so im feeling alright about this,0,sadness,"Hindi pa ako nakakaramdam ng pag-uwi, kaya okay lang ako dito."
i dance i should feel pretty,1,joy,"Sumasayaw ako, dapat maramdaman kong maganda ako."
i workout every morning before and feel fabulous for it,1,joy,Gumagana ako ng ehersisyo tuwing umaga bago at nararamdaman kong kahanga-hanga dahil dito.
i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,sadness,"Nararamdaman ko lahat ng ito mula sa kanyang mga mata, hindi mula sa kanyang paghawak o sa kanyang mga salita, kundi mula sa kanyang mga mata, alam kong tiyak kong maibabalik ko ang pag-ibig na ito at malalaman kong hindi ito magiging walang kabuluhan."
i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,joy,Nararamdaman kong kamangha-manghang hanggang sa umaga ng Biyernes nang magsimula akong maramdaman ang mga nakakabinging pananakit ng tiyan sa trabaho.
i feel honoured to have been able to call them friends to share their brotherhood,1,joy,Nararamdaman kong ipinagmamalaki na makasama sila bilang mga kaibigan at ibahagi ang kanilang pagkakaibigan.
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,fear,Nagsimulang akong makaramdam ng pangamba nang dumating ang makapal na ulap na kulay itim at nag-ulan ng malakas sa itaas ng bayan.
i had stated to her the reason i feel so fearful is because i feel unsafe,4,fear,Sinabi ko sa kanya na ang dahilan kung bakit ako natatakot ay dahil nararamdaman kong hindi ako ligtas.
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,fear,Hindi ko pa naramdaman na kailangan kong ma-check ng TSA kaya huminto ako sa tabi sa Creative Croissants para sa tanghalian.
i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,sadness,"Nakakaramdam ako ng kakaibang pag-aalinlangan kapag sumasali ako sa mga grupo, kaya minsan ay sobra akong nagsasalita o naman ay tahimik na lang."
i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,love,"Napakasaya ko na sa wakas makikilala ang aking kasama, ang kasama na lagi kong kasama, lalo na kapag ako'y nag-iisa, napaka-iisa, ang kasama na hindi ako bibiguin, ang kasama na yakapin ako at ipaparamdam na mahal ako."
i feel they are pretty safe on my blog img src http s,1,joy,Nararamdaman kong ligtas sila sa aking blog.
i feel pretty eager to get it done as i have a fun plan for quilting it,1,joy,Napakasaya kong matapos ito dahil may masayang plano akong pag-quilt dito.
i am feeling horny so i ask her that lets go home,2,love,Nararamdaman kong mainit ang katawan kaya tinanong ko siya na umuwi na tayo.
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,fear,"Sa tingin ko, kung hindi pinipilit ng isang tula ang aking damdamin, hindi ako nahihirapang pakiramdam na higit pa sa kaya kong maramdaman, na unawain higit pa sa kaya kong unawain, o mahalin higit pa sa kaya kong magmahal."
i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,4,fear,Ako rin ay nadarama na parang estranghero sa isang kakaibang lupain at inaalagaan ko ang aking anak sa isang lugar na hindi ang ancestral home ng kanyang ama.
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1,joy,"Umalis ako sa shower habang nagtatanong sa sarili kung ano ang nararamdaman ko, siya ay maganda, may kahanga-hangang katawan, at sobrang kumpiyansa sa kanyang kilos, na parang walang pagsisikap na maganda."
i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1,joy,"Nararamdaman kong puno ng enerhiya at masigla, masaya akong pumunta sa gym, tumakbo sa labas kasama ang aking mga anak, o maglakad ng mahaba gamit ang stroller, kadalasan ay ginagawa ko ang lahat ng tatlo sa isang araw."
i was still feeling strong,1,joy,Nararamdaman ko pa rin ang aking lakas.
i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1,joy,Hindi ako umiyak o nagpakita ng iba pang malakas na pagpapahayag ng damdamin o kaisipan dahil tila alam kong kailangan ding magkaroon ng kanyang sariling espasyo si Rich nang hindi ko siya binabalot ng aking mga problema.
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3,anger,"Gusto kong bumili ng pumpkin spice latte kanina pero mainit ang panahon at ang huling gusto ko ay mainit na kape, baka medyo mapait ang pakiramdam ko ngayon."
i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4,fear,"Siguro nararamdaman niya ang pagsisisi dahil medyo nag-aalinlangan siya sa sakit niya sa nakalipas na ilang buwan, dahil mayroon siyang ugali ng pagiging hypochondriac at pagpapakalat ng mga bagay sa nakaraan, bagama't hindi niya ito bukas na tinanong."
