text,label,label_desc
i also feel devoted to my profession because i get ever so annoyed when i see things that would adversely bring adverse publicity on our profession like some hearnsays from ill informed patients the media and some ignorant politicians making use of health care as a tool to boost their publicity,2,love
i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend,0,sadness
i baht into usd and feeling very satisfied with how little i spent,1,joy
im feeling really good about it,1,joy
i have never made the first step because the guys were alway faster this is why this situation is making me feel very unsure and elusively shy,4,fear
i feel like i m not really sure where everything is leading and i d look like a boob if i misrepresent things,1,joy
i was thrilled to have that outcome but because i was feeling so crappy i couldn t even celebrate that until i started feeling better which mainly seems to have occurred with an increased dosage of my thyroid replacement hormone and supplemental estrogen,0,sadness
i go i see our flag flying at the turkish schools and i feel very proud,1,joy
i am the head of my family i should be looking after them but i feel i am worthless to them i am nothing now,0,sadness
i feel really optimistic about,1,joy
i don t know if they just wanted to lead a race or they were feeling so well so early or what it was,1,joy
i feel so weird about it,4,fear
im feeling homesick for him,0,sadness
i have succumbed to the dreaded commuter virus and feel altogether a little bit rotten,0,sadness
i look at his sweet little face crying for his mama just wanting me to hold him and love him and i feel so horribly awful for being frustrated with him,0,sadness
i do feel sorry for you,0,sadness
i see and feel and who knew i could get so angry in putting a key in the lock i want to punch someone s face every single time i put my key in the lock i know that i must keep on going,3,anger
i am very motivated to learn from the lessons of history because otherwise i feel that we are doomed to repeat the same mistakes,0,sadness
i didn t give up blogging but i still feel that i want to make my posts more useful to my readers,1,joy
i feel very shocked i have never expected that would happen to me,4,fear
i feel a bit reluctant to write this,4,fear
i feel like an ungrateful ingrate bastard to confess that i momentarily lost my appreciation for the life i have,0,sadness
i get nothing and i really want to feel like if someone likes me for who i am not for my stubborn sister,3,anger
i dont recall just now yet vividly recall looking at you as you said it and you i think looking back at me and my feeling very sympathetic or maybe empathetic is the better word of course you needed a space,2,love
i already feel the atmosphere around it seems dangerous,3,anger
i feel after seeing sweeney todd disturbed and disgusted are better descriptions,0,sadness
i feel a little suspicious,4,fear
im still not sure why reilly feels the need to be so weird,4,fear
i want to say in front of you but embarrassed feeling is comes and my mouth be dumb cannot say that im very love you i know you dont like me because in front your eye im not pretty like what you think in your mind but thats not a reason why you dont love me right,0,sadness
i never cease to feel amused when with a single facial expression i have the power of modifying a students behavior,1,joy
im having my biannual mammogram and although i know it only hurts for a while im feeling unusually apprehensive,4,fear
i would feel even more clever had i actually intended to do that,1,joy
i know how they feel about it all and they talk like the ppl above them on the ladder are so vain amp shallow amp bla bla bla,0,sadness
i would hate to feel unwelcome,0,sadness
i feel your gentle stare and feel your love,2,love
i hate how helpless they make me feel so i get stubborn i stop taking them and im fine until im not but by then im so stubborn i cant make myself start up again until i have a really bad episode and scare myself into taking them and then the cycle starts back all over again,3,anger
i feel more calm and comfortable by wearing those neutral color,1,joy
im feeling generous today heres the link,1,joy
i feel vaguely frustrated with the extent that thoughts about cycling invade the space in my mind,3,anger
i am feeling a bit overwhelmed tired anxious etc,4,fear
i wish i could be there for all the people who i feel i should be there for and supporting in these times,2,love
i feel tranquil and content,1,joy
i fell asleep feeling contented and was ultimately driven back to my room,1,joy
i know i totes feel like a valued and equal person to my coworkers while theyre laughing over shutting women up,1,joy
i recall feeling so welcomed that we returned to woodstock a few months later for a white thanksgiving,1,joy
i feel so frightened i wanna run to you i wanna call but i ve been hit by lightning just can t stand up for falling apart can t see through this veil across my heart over you you ll always be the one you were the first you ll be the last,4,fear
i am generally a pretty happy and positive person there are times when the nerves kick in and i am not feeling quite so happy and smiley,1,joy
i admit to feeling sympathy with the dignified and the defiant,1,joy
i know how awful it is to be on your a game and not see any results and just feel crappy overall,0,sadness
i feel sure it could be developed into a thrilling piece of theatre,1,joy
im not really into bashing gw the hobby or other people so i try hard to focus on subjects that i feel passionate about and want to spend the time to do it right,2,love
i feel that karma punished me because i don t know the meaning of contentment img src http www,0,sadness
i knelt down in front of her close enough to feel her gentle breath she did not move or speak but yet there was no need our eyes shared a mutual understanding we communicated with no words just pure silence i felt at peace,2,love
i feel like theres nothing in my life empty,0,sadness
i remember feeling paranoid,4,fear
i am feel overwhelmed,4,fear
i still have a way to go but i am so much closer to the finish line than the start line and that feels amazing,1,joy
i still feel heartbroken over alot,0,sadness
i feel more shitty and emotional and helpless,0,sadness
i feel like falling in love with her is part of being amazed at how she makes our family so much better she tells the advocate,4,fear
i understand feeling alone and lonely like you may never be really known,0,sadness
i feel angry or resentful all i need do is remind myself that each day sober has been made possible by a fellowship which supports me all the way,3,anger
i did behave the same way when she was going through all this maybe i was the same or acted the same i don t think i did but i guess it is a matter of perception but when it happens to you you feel devastated,0,sadness
im not some outcast always feeling a fake sense of belonging,0,sadness
ive stayed at a few of the trendier hotel in north america and some have a tendency to feel cool and unfriendly,1,joy
i feel most passionate about,2,love
ive been feeling a little overwhelmed about the whole thing lately but somehow the small step of finding out where my lectures will be has helped a bit,4,fear
i am starting the menopause constantly suffer with mood swings temper floods of tears unable to sit for long periods and concentrate feel constantly weepy and on edge feel unable to cope with the day to tasks of ordinary life,0,sadness
i feel utterly useless as a mother because i just dont know what to do,0,sadness
i am way less uptight the second time around but i still do feel awkward both at baring myself and at the potential of making anyone else feel uncomfortable,0,sadness
i feel like im losing motivation since the scale has been so unkind to me lately and i cannot get that attitude or i will possibly throw away everything ive worked for,3,anger
im feeling holly jolly how about you,1,joy
i headed there fully expecting them to have been sold out ages ago and that i would find myself staggering back upstairs without them feeling all bitter twisted and disappointed but at least with some of the allocated pennies still lurking in my own bank account,3,anger
i can t help but feeling weird when opening every closet in an apartment that somebody s still living in so i didn t,4,fear
im feeling stupid,0,sadness
i am responsible and would feel terribly dismayed at my lack of caring towards my job but lately i really have been irresponsible in regards to my shit job and i dont even feel like im letting anyone down,0,sadness
i want to avoid feeling terrified,4,fear
i feel depressed nearly all the time,0,sadness
i still feel stressed,3,anger
i feel vain,0,sadness
i have depression and things just started getting better but today i felt so bad you know they feeling in the pit of you heart that your a worthless failure,0,sadness
i woke up feeling cranky this morning,3,anger
i went on a bit of an auster binge after that and i remember feeling particularly fond of mr vertigo which is about a boy who learns to fly,2,love
i started feeling shaky hungry,4,fear
i feel like life is an affectionate older sibling,2,love
i am feeling amazed to see what god is doing new friends who aren t only amazing but get me who don t run and hide in a dark room unless i am there and they are joining me,4,fear
i woke up with a pounding headache and sore throat and so on top of the fatigue and nausea i feel utterly miserable,0,sadness
i feel so resentful and hateful and downright furious about this,3,anger
i know that i made things sound bleak in the last paragraph but it is moments like these where i do feel very happy that my life has lead me to this point,1,joy
i feel that his apology was sincere i just couldnt help feeling a bit more unhappy about what happened,1,joy
i was powerless over my life and the things that left me feeling abused unhappy and generally discontent and miserable i was stuck,0,sadness
i am blue i try to imagine his smile and even though the tears pour i feel so loved,2,love
i feel horrible about all of this,0,sadness
i am crushed and think of suicide but i will not ever ever give up on my kids i will fight and prove her psychotic behavior to everyone she has noconscience and feels joy to hurt me but i will prevail,0,sadness
i cannot in good conscience encourage my young kids read stuff from someone i feel is so vile no matter how good it is,3,anger
i was feeling a bit jolly today at work,1,joy
i feel bad for the creature,0,sadness
i feel like nothing i do will be successful against him and that helpless feeling is super sucky and counterproductive,1,joy
i feel passionate that students should have choice in their reading and that it is my job to encourage a love of reading,1,joy
i am very happy and feel loved,2,love
i feel impatient but much thanks to nic she knows how to calm to me down,3,anger
i think missy was about to abandon the project all together due to her not feeling like she had enough time but somehow i convinced her to come and finish up the last few songs we needed to have enough material for a full length,1,joy
i wont face these obstacles and feel like a stressed out mess or worse a mommy failure,0,sadness
i feel gentle as if i have let go of so much,2,love
im feeling irritable and sick,3,anger
i feel lame all i use is color pencils to color pokemon,0,sadness
i didnt feel as isolated from the world as i did during last years holidays,0,sadness
i know that this is somewhat strange but i can feel that my cat is very unhappy and it is making me kind of sad,0,sadness
i advanced boldly feeling most adventurous at thus doing what everyone had often warned me against,1,joy
im with her most of the time i feel perfectly content,1,joy
ive been reading her blog for years now and i feel like shes my most faithful reader here,1,joy
i feel kind of over entertained,1,joy
i would give up feeling fucked to feel neutral,3,anger
i feel too mellow to get worked up about anything,1,joy
im feeling so jaded right now,0,sadness
i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,3,anger
i feel very honored to be part of this team and attending this launch as it definitely was an eye opener and something very new to me,1,joy
i feel lame even saying it,0,sadness
i woke up feeling rather devastated,0,sadness
i feel like i m always stressed worried or upset about something,0,sadness
i feel angered because it makes me feel like somewhat of a liar,3,anger
i feel so very loved by a href http www,2,love
once i was caught by thugs aged between,4,fear
i feel fearful of how this sensitive non confrontational driven girl will thrive as an executive in the corporate world,4,fear
i would also feel threatened by the ease with which private information could permeate the system,4,fear
i feel stressed i venture out to photograph nature in any form and that lifts my spirit,0,sadness
i don t know if im just speaking for myself but i feel like we are all becoming more stupid by the day,0,sadness
i just feel really emotionally drained,0,sadness
i could feel what was going to happen at the very end but it still startled me,4,fear
i now feel as if im doomed to fail my upcoming global regents,0,sadness
i had planted about trees and was feeling very virtuous hot and thirsty,1,joy
i feel pained just thinking about it,0,sadness
i usually doubt my self at this point as i feel i should be that amazing housewife who motors all day and has a list of things they can tell theyre husband they did all day while they were at work and i was at home,4,fear
i feel like i liked it but at the same time i feel let down,2,love
i understand how unbearable it is to feel like worthless shit all of the time,0,sadness
i accepted his apology because i feel like he s remorseful for how he treated me,0,sadness
i feel hated i feel angry i feel very sad i feel like im going to be abandoned i feel angry because i abandoned someone but in reality no one at this age can expect that neither party will be abandoned,3,anger
i feel that a lot of my life i live in a delicate balance of clean and utter mess,2,love
i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation,4,fear
i feel heartbroken but for some reason not strong enough to say i m finished with him,0,sadness
i feel bore and restless,4,fear
i wrong or ridiculous to feel pissed,3,anger
i know and i am eternally torned about it because i feel helpless and useless,0,sadness
i feel however that this is my least successful look and one that upon reflection i would change the most,1,joy
i feel so glad to be home and to find so much had changed and yet nothing had really changed,1,joy
i hope the nathan and haley fans droop in there as a result of i feel theyll be terribly glad with the result,1,joy
i could feel it so lively compared to the noisy and though dead atmosphere of the life down the hill,1,joy
i take things very personally when i feel wronged even little memories stay with me,3,anger
i called animesh told him my feelings he was very supportive,2,love
i feel rather sympathetic,2,love
im feeling so contented while typing it,1,joy
i left the office feeling so relieved,1,joy
i get to feel all virtuous when i do something like whip out my cloth napkin or reusable shopping bag,1,joy
i grit my teeth shook my head and spent the next minutes feeling irritated,3,anger
i should not feel afraid we can stop shoulding all over ourselves,4,fear
i know that i do not feel repressed or a prisoner by the guidelines of the lds church,0,sadness
i feel like i did the last time i had to break up with a lousy boyfriend in so im out of practice like junk,0,sadness
i have been feeling lonely and isolated lately,0,sadness
i didnt feel alarmed moreso a feeling of total welcome,4,fear
i like to feel respected by a guy i m with not abused,1,joy
i feel so amazed seeing chiangmai,4,fear
the day i got to know that i would get a shared dwelling with my boyfriend my parents place was getting a little crowded with my growing bother wanting a room to himself i first felt doubt,1,joy
i restrain all emotion asked asked her su wen is a laugh said see us smiling at the side maybe the feeling that i am sincere concern for su wen is right,1,joy
i feel more passionate about things too,1,joy
went to a movie with a date,1,joy
i never worry about having to repay you or feel burdened when i couldn t afford something because we always manage to understand and have fun despite being broke which is a lot of the time,0,sadness
i am feeling rather low these days but it does not matter for no one cares,0,sadness
i can t help but think that oakwood must feel unwelcome on our campus,0,sadness
i feel a bit afraid of not thin and thin i would like to know is elevated thyroid hormone eat less because of the movement to improve the metabolism or drug but that still in the normal range within the distressed in the end because of hyperthyroidism thin or i was really healthy thin,4,fear
i feel a lot of jaded fans are doing i m rating it based on what i ve seen heard and played,0,sadness
i feel ecstatic i feel hyper,1,joy
i got out of my cab at the train station feeling firstly quite convinced that there is definitely more method in the madness of flat planet than i first thought when i visited it the day before and secondly that this had to be one of the scariest telephone interviews i ve ever conducted,1,joy
when i hooked a girl in kitwe she was very beautiful for my standards,1,joy
i hold it for a day my arm will feel numb and paralysed,0,sadness
i am sorry amma if i made you feel bad but i was being honest,0,sadness
i feel absolutely elegant in my white coat and now i have a cheaper version that i m not as worried about getting dirty,1,joy
i have a feeling that it is in canada where she ll find her prince charming,1,joy
i feel alone all the time and he just happened to be there,0,sadness
i met a really cute girl who i feel kind of fond for today and normally girls are really complex to me but i can just be myself around her,2,love
i feel that daddy is appreciative and grateful to us all given the circumstances in taking care to release him into his final resting place,1,joy
i drank a lot and i got my hands on all sorts of drugs but most of the pain im feeling today can be blamed on lack of sleep and the hours we spent walking around atlanta,0,sadness
im already feeling very loved today and its not even noon,2,love
i wondered if inside there was more of that initial warmth i felt that poignant piercing penetrating feeling that despite being a figment of the computer suspiciously felt pleasant,1,joy
i feel a bit optimistic some days,1,joy
i feel pretty shy right now and i dont know why,4,fear
i have tried sometimes to spend time with them to make them feel less miserable in school and have usually had my offers thrown back in my face,0,sadness
i use a small p size amount or p if im feeling generous and massage the milk into my skin in little sections and if i feel an area needs more then i can apply more,2,love
i feel disgusted with my jealousy and should stop taking example so offensive,3,anger
i live this amorphous lifestyle the less i will be subjected to these feelings but as of now it feels fantastic to be back in the rhythms of working full time,1,joy
i liked the family feeling and the characters but i thought ryder and hope could have been more passionate,2,love
i miss yall miss your comments and feedback and feel a little resentful that id had to shut it off due to a few bad apples to folks who just dont understood much as i might be baffled as well by their lives,3,anger
i didn t feel very reassured by her tone but i understand this is a big shock and adjustment for everyone,1,joy
i have a feeling he will just follow sweet luke around everywhere he goes when he does,2,love
i dont know if he ever cheated on me but it does looked like it cause he has known her for years and i appear in his life around that time and it makes me feel mad,3,anger
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,3,anger
i feel about the loss of our beloved dog chewie,2,love
i feel sad for her,0,sadness
i was feeling a bit annoyed but it didnt really affect me very much,3,anger
i also feel a longing for my country and as i remember my childhood around the gunong ledang mountain i have started a series called puteri gunong ledang evoking all the legends and memories of jungle fairies that still live in my mind,2,love
i know later when i read this ill feel regretful that ive posted such thing and ill be mad at my self,0,sadness
i am feeling happy thank you,1,joy
i feel like my parents and i are the only ones who think it is acceptable that i dont know what i want to do with my life and dont feel the need to,1,joy
i have to admit i was feeling pretty horny nicole,2,love
i feel burdened by my goals,0,sadness
i was not used to being around such grandeur and i found myself feeling very intimidated,4,fear
i do feel that i need to do something more productive with my days not having the stress of exams has made me feel like i dont have a goal which im working towards if that makes sense,1,joy
i had moved to my own little flat in london and i was struggling to look after myself which made me feel really useless,0,sadness
i legitimately feel less intelligent at the end of the day because of how worthless and stupid it all is like how you feel after sitting through a michael bay movie,1,joy
i have a feeling that somehow this week will go quickly which is splendid because i wouldnt have it any other way for my two favorite men await me at the end of the week ryan and andrew bird of course,1,joy
i don t feel groggy or like i can sleep any more this morning,0,sadness
im feeling so guilty helpless and hopeless,0,sadness
i was very good in the morning as i had been to the gym and done a zumba class followed by half an hour swim which of course i cycled to and from so i was feeling very virtuous,1,joy
im not quite sure why and she treated me well but the entire time i was there i got this distinct feeling that she wasnt impressed,4,fear
i thought of my peers lacking of a few months or a year to vote feeling hopeless as they watch the news and with every click of the refresh button last night,0,sadness
i feel like i liked my hair much better before i was using a sulfate free brand and i believe i am using a reputable brand,2,love
i do find most to be geocentric and i feel we sure do get enough of them,1,joy
i admit to feeling bitterly surprised at how rapidly they have thrown in the towel,4,fear
i feel so unimportant it sucks,0,sadness
i suppose we had these moments of feeling vulnerable together and we laughed a lot and i felt very alive,4,fear
i remember frequently feeling surprised by the statistic that of the population are hsps given that i almost never came across anyone who was an hsp,4,fear
i feel like highschool is making me unhappy,0,sadness
i want to feel happy,1,joy
i just feel like i did last weeks what im loving wednesday post yesterday,2,love
i feel quite disturbed about the whole thing and to top it off im feeling shame,0,sadness
i started sewing more garments i feel like so many popular clothing brands are so cheaply made,1,joy
i decided to see if i could locate margaret or jeff as i feel a longing to know how they are,2,love
i feel truly blessed to have the opportunity to teach your children and watch them grow,1,joy
i know is what you do when someone gets engaged made him feel like they were supporting her marrying someone who doesnt always treat her well,1,joy
i found myself feeling so angry,3,anger
i feel so excited to have made time to blog again,1,joy
i feel blessed to be able to see that we didn t do anything,1,joy
i feel these unwelcome guests beginning to take hold of me i will retreat to pray if but only for a moment,0,sadness
i am also posting this because i am trying to work on the writing i want my students to feel passionate about,1,joy
i feel so useless when im stuck in those situations,0,sadness
im typing all of these im blowing my nose and feeling extremely cranky,3,anger
i feel comfortable with it,1,joy
i didnt feel glamorous at all,1,joy
first anatomy lesson,3,anger
i feel inside or how that creative person seems to be gone,1,joy
i chat with other parents no great friendships have come out of it yet but it s nice to feel on friendly terms with some of the people i see at school events and around the neighborhood,1,joy
i hear your still cool several times a day and it makes me feel so cool,1,joy
i make them feel valued and included even when we don t see each other often that it s one of my superpowers,1,joy
im feeling ok to say il tough it out at the time it was pretty unpleasant,1,joy
i can remember a year ago yesterday feeling so unsure so scared of what our future held,4,fear
i don t think there s a woman around who hasn t felt the angst rosa feels as she deals with the death of her beloved aunt the chasm between her and her father,2,love
i feel i am more of innocent and easily getting emotional to silly things,1,joy
i feel reassured and comforted that i will be seeing my oncologist every three months and my surgeon every six months,1,joy
i feel it must have been the violent dream i had to snap myself awake from a difficult dream of my mother representing anyone and everyone and self violence universal but beautiful in its metaphor,3,anger
im starting to feel content just being and not talking,1,joy
i could bottle this feeling as a weight loss strategy id be rich,1,joy
i think that blogging will be a good way of writing because etries should be short so i won t feel over burdened by the amount of writing i have to do,0,sadness
im feeling exhausted,0,sadness
i always seem to have some kind of life upheaval or additional work stress that makes it hard to feel thrilled about the upcoming holidays,1,joy
i hope you keep handing out books of mormon to those you feel impressed to give them to,4,fear
i feel intimidated by your question,4,fear
i feel like im rotten and empty inside,0,sadness
i am feeling shaky and tired i feel like i do when i go on a long run without eating and come home and just really wanting a banana or some gatorade,4,fear
i feel stupid or overly awkward or less than them,0,sadness
i just feel so useless and utterly worthless,0,sadness
i feel uncontrollably agitated and i have no idea why,4,fear
i want to be able to have someone stop by on a whim and not have to feel ashamed of the and a half inches of dust on my shelves and tv stand,0,sadness
i feel like were getting married again it was so romantic and fun,2,love
i kept thinking that if i had the right mindset if i put enough effort into pushing away the feelings then i would not be afraid,4,fear
i feel as though satan doesnt want these one here so im going to be that much more determined to get this out,1,joy
i have mixed feelings about this book but at least it looks significantly superior to the movie,1,joy
i feel i can do anything my beloved season calls me hyde count down seasons call a href http bookmark,1,joy
i have a neutral feeling about two broke girls because while i like kat denningss deadpan delivery and a href http media,0,sadness
i know all art animals are lame and i feel particularly violent about the crabs,3,anger
i feel hated by jim martin s,3,anger
i am feeling any less submissive,0,sadness
i am concerned that my gut feeling about not dropping aol that quickly about not trusting verizon was not just paranoia,1,joy
i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it,4,fear
i feel extremely boring,0,sadness
i want to shout say something dont just smile all the time touch me so i can feel that delicious feeling inside,1,joy
i feel deeply humiliated when i read in ari ben menashe s book entitled profits of war mousavi s friend manuchehr ghorbani is was a cia agent,0,sadness
i feel like im getting barely as much free time here as i do at oxford,1,joy
i love drink them i love that medicine because i want to be health anymore but my family reaction made me feel so depressed,0,sadness
i feel so wronged but what can i do,3,anger
i guess i just need to see how it goes so while im feeling very nervous im also very excited,4,fear
i feel relaxed whenever i have the privilege to love and serve people,1,joy
im sure that in a couple of months i will be feeling homesick while i skype with my family on thanksgiving and when im working for the first time on december th taiwan has already surprised me with the interesting and enjoyable holidays they have here,0,sadness
i feel irritable or depressed during the course of the day i just stop and think am i too hungry angry lonely or tired,3,anger
i went over my feelings she said i am very fearful and conflicted,4,fear
i have no better word to describe the way i feel than heartbroken,0,sadness
i feel all ecstatic every time i see the new old opening credits on one tree hill a href http twitter,1,joy
i am feeling fairly virtuous,1,joy
i would still feel unhappy and sad,0,sadness
i ignored my feelings i ignored myself,0,sadness
i listen to the hurricane rain outside the window i feel a little melancholy,0,sadness
i was already packed didn t want to wait around for her to talk to her friend was feeling irritable tired and eventually gave up on trying to go in the first place made me feel more down about my situation,3,anger
i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt,3,anger
i was okay but thats an awful feeling to be falling with no way to stop it maybe thats why to this day im so afraid of falling,4,fear
i was feeling abused humiliated and insulted by a search that does not correspond to the code of catsa nor to the criminal code of canada a woman can not perform a body search in a man,0,sadness
i do know is that i always feel festive eating outside,1,joy
i am in size now and im afrad its making me feel too complacent with myself,1,joy
i feel the need to blog pagetitle from flab to fab,1,joy
i feel like it only had created in me a more grumpy state at the meanness around me,3,anger
i imagine ill eventually migrate to the middle but even alone that feels greedy to me,3,anger
i feel lighter ive got more energy and im loving the rhythm of our days,2,love
when i almost walked on a snake,4,fear
i did say she could but its just a bit annoying and it reminds me that im really unfit and that i have no determination and then i feel really poo and have even less determination so its all a bit of a vicious circle,3,anger
i sometimes feel like the heroine who is never stressed or teary or worn out with all the hardship is pretty shallow,0,sadness
i am looking forward to a great year in i am feeling very optimistic after a very hard yet busy,1,joy
