text,label,label_desc
i just wanted to write this post because i m sure like myself there are many of us struggling with the same problem feeling deprived and isolated on such a restricted program but i hope you realize that you are doing it to yourself and you don t have to feel that way at all,0,sadness
i still feel so agitated,3,anger
i feel dissatisfied and no matter how selfish i am or how much about me i make saturday it s never enough,3,anger
i feel something about physically seeing your problems where the hurt stems from seems to be very therapeutic,0,sadness
i just like spoiler cuts they make me feel simultaneously badass and considerate,1,joy
im feeling a little smug too im usually running late for whatever im planning to d,1,joy
i have certainly been in places where i did not feel welcomed and i made a point to go on to a place where i did find that feeling of welcoming,1,joy
i feel amazed i can compress my difficulty so neatly into one sentence,4,fear
i have this feeling of security about the characters i want to do if someone else gets the role i am afraid they will not do well,4,fear
i feel like no other day should be less valuable than another because of a certain event is going to happen,1,joy
i loathe stuffed animals they make me feel a bit violent and i have been known to punch them,3,anger
i feel extraordinarily lively,1,joy
i still feel incredibly frustrated by it,3,anger
i feel sympathetic toward him he is always suffering through a million responsibilities,2,love
i was lured into the idea of the event with the promise of free champagne you know me and a brilliant talk by bestselling author kathy lette but left feeling genuinely inspired and empowered,1,joy
i feel as i did when i was troubled easily agitated and indecisive,0,sadness
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,0,sadness
i feel content just because of the weather,1,joy
i tend to feel too empathtic and too remorseful and guilty even about shit i am not a part of,0,sadness
i started to feel some dull cramps that lasted for about two hours i thought maybe the babies didnt like mexican which is cray cray because its my favorite,0,sadness
i feel like im reliving the prequel again another jedi queen in a romantic relationship trying to keep it secret,2,love
i am at work today in my new job still feels really strange tbh but i m sure i ll soon settle in,4,fear
i think she is pretty sure she is not the victim then feel really unfortunate to bobo if she is really pregnant,0,sadness
i feel the echoes of the divine so very close,1,joy
i finished it feeling amazing,1,joy
i feel so bad to have slacked of on my health but now i need to make the time,0,sadness
i feel so special when im wearing this front,1,joy
i can totally sympathize with everyone here who doesn t speak native english as i feel like a brain damaged five year old whenever i try to speak japanese for any length of time,0,sadness
i ran upon it while looking for a cute saying to add to address change cards planning ahead and feeling positive,1,joy
i had and not having any lingering feelings nor longing for anyone,2,love
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,4,fear
ive lost lbs between january of this year and now i have this wicked part of me that feels very keen to try on new clothing and to tell myself that i deserve new clothing,1,joy
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,4,fear
i quite often get up feeling groggy but after meditating and having a fresh juice i feel as good as new,0,sadness
i am feeling so honoured to be a,1,joy
ive been feeling the demands of my three beloved males pushing and pulling spinning me around as i dance to the beat of their drum,1,joy
i feel like in order to live a compassionate life this is an essential piece of the puzzle for me,2,love
i still feel the tender touch of a hand in mine,2,love
i learned my lesson and would never repeat my mistake i ve seen real child abuse and still do not feel that i abused my child,0,sadness
i feel so blessed that i am able to leave there,1,joy
i now feel so determined to smash round and really give her something to be proud of,1,joy
i feel like i cant handle this deployment or that i am miserable,0,sadness
i feel so beaten down by the constant anxiety and frustration of looking for word and being constantly disappointed,0,sadness
i feel like i am not very smart,1,joy
i feel guilt that i was cranky last night and didn t fully embrace my evening alone with the boy,3,anger
i already feel like ive been accepted into the community here,1,joy
i confess to feeling a bit nervous now though there are some very talented people in the group,4,fear
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,3,anger
i am wondering if i am feeling brave enough to make them for gifts,1,joy
i am simply to realize that master homis knows best and if he feels there is too much going on he will step in and help with some tasks that i perform and i am not to become distressed about this,4,fear
i feel so pissed about myself,3,anger
i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,1,joy
i feel that im not talented in baking,1,joy
i still feel that i expect pieces of the world from him but im afraid to come close and place those expectations upon him again in fear that hell disappoint me,4,fear
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,4,fear
i see jacque i feel extremely guilty because she still hasn t forgiven me,0,sadness
i started off feeling rather cranky and grumpy and ultimately ordinary then there was a little facebook flash from my cousin in west meath and suddenly we were pinging bad jokes and naughty stories about rudolph valentino performing unspeakable acts back and forth and it felt like a party,3,anger
i feel like they might be engineering hostile situations by which i mean wars and missile testing and dropping spy planes out of the sky and all the rest because overwhelmingly they have y chromosomes and because they are bored,3,anger
i have come off conquerer others i feel i have missed the mark or perhaps the lesson that i was suppose to learn,0,sadness
i just yearned for that homey feeling where you are sitting at the river with friends and the sun is hot and warming your skin and you are wearing jean shorts and life is perfect for a day,2,love
i set off feeling strangely nervous and quite weak but slowly worked through the problems and was soon attempting the toughest problems,4,fear
i feel so divine to be so cared for,1,joy
im not enjoying winter hate feeling cold and having to dress in so many layers,3,anger
i feel like i should have some wine or something i was amused,1,joy
i feel pressured to be the perfect happy woman but it s because i have a hard time letting people in past a certain level so it just is easier to default to happy go lucky which i usually am anyway,4,fear
i feel innocent and free again,1,joy
i hate to feel threatened totally,4,fear
when in a car accident where car was total wipe off wipe out,4,fear
i did not feel disappointed with the performance here,0,sadness
i feel a sense of loss when an extremely talented and passionate engineer who wants to work on certain dsp design eventually takes up a job at a financial number crunching software company only because he did not get the right kind of job,1,joy
i feel relieved that a rescue party has arrived,1,joy
i pushed the feeling aside and contented myself with an apple,1,joy
i expect ou to win but i feel there strongest competition will be a pretty talented and experienced ok state squad,1,joy
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,3,anger
i mention this seemingly obvious little tidbit is that either many of my friends have an innate inability to understand this or they feel hurt and neglected because of it,0,sadness
i am terrified and not feeling terribly keen right now,1,joy
i feel so alone and im just going out of my mind,0,sadness
i know that there is some cynicism involved but i also know that it s come from the lessons i ve learned over the last couple years of life and i don t feel resentful or damaged because of it i feel fortunate enough to have been clubbed upside the head with a bigger dose of reality,3,anger
i only need to feel respected and safe,1,joy
i almost feel greedy for believing that i want so much,3,anger
i feel unease in my room but our living room is very pleasant for me,1,joy
i did feel complacent that now in britain with the immediate rain life would be that little bit more familiar but nonetheless i have the memories the photos and now i have a goal to work for my gap year and i would be working on that as early as saturday when i would be earning,1,joy
i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought,1,joy
i feel you are very charming but do the other people feel very terrible,1,joy
i start feeling angry i need to actually stop and figure out what im really feeling so i can deal with life in a more balanced way,3,anger
i feel so invigorated when its cold,1,joy
i feel ive been physically uncomfortable for the last months of my life so nothing new there,4,fear
i feel more intelligent and strong,1,joy
i feel invigorated and enthusiastic,1,joy
i see what being unhealthy does and i can feel the weight that i ve gained back and i am pissed that i let some of it creep back on,3,anger
im overreacting or perhaps the feeling i felt was just an amplified reaction to the way she has ignored almost everything ive said in class or the stupid smile and her tone she has been using in those rare cases she hasnt ignored me,0,sadness
i should just leave him be so he could go on his merry way and so i could stop feeling like i was just unimportant to him now,0,sadness
i needed to feel loved and accepted although i falter,2,love
i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive,3,anger
i tend to feel humiliated when criticized,0,sadness
i was overwhelmed with joy when i received the acceptance letter to unza this happened again when i passed all my first year courses,1,joy
i feel virtuous as ive already done more on it this week than i have for several months,1,joy
i feel that when i run i that is me sarah the mind am supporting this body,1,joy
i will feel the sadness when i am more troubled,0,sadness
i stared up at him amazed by the feeling and as equally amazed that nothing else was happening,4,fear
i feel more excitment than reluctant xdd hohoho looking foward tmr xd cya tmr,4,fear
i took a shower then headed to the bsc loop to meet allies for the trip to the club feeling very triumphant that i had helped in such a marvellous prank,1,joy
i got home feeling miserable at my lack of shopping skillzz i remembered the bag of un opened un used make up sitting in my bedroom that i forgot all about,0,sadness
i honestly feel that im being ignored and left alone,0,sadness
i guess a lot of her is pretty high even though i can feel her hiccups and im guessing hand and arm movement low,0,sadness
i feel that im fine without him,1,joy
i do however feel that some people would not be so shocked right,4,fear
i am now feeling the onset of an unpleasant sort of tourist panic,0,sadness
i truly felt that when i left friday you were smiling and feeling i had respected you and you thinking i was a teasing little heathen you loved who enjoys arousing you with an animal delight,1,joy
i feel drastically inadequate for the needs i feel swirling around me,0,sadness
i feel you might be quite amazed if ahead of you begin your diet program you continue to keep a a href http www,4,fear
i come home feeling drained and paralysed and when i try to study my brain just shuts down and ill end up snoring away on my bed and visiting dreamland,0,sadness
i take a look as i try to get used to the feeling of his touch innocent as it is,1,joy
i lived her life without the feeling of acceptance she felt as though trouble and misery followed her everywhere she went and that everyone hated her because of it,3,anger
i every once in a while feel free,1,joy
i feel like in spite of having so many amazing things to be thankful for life is just one big demanding wave after wave and i m being tossed around like a rag doll,4,fear
i feel instantly glamorous just pulling it out of my handbag and sachaying it about for all to see,1,joy
i feel like if there are pickles in the fridge everything will be ok,1,joy
i hope you all make the time to play along i have a feeling this sketch will be a popular one,1,joy
im sure this silly little blog is ridiculous but sometimes i just feel so aggravated,3,anger
i hope you enjoy reading and please feel free to leave comments,1,joy
i always feel humiliated,0,sadness
is name in the opening passages saying it may strike the reader as rather singular and far fetched but he may feel assured that it was by no means far fetched and that the circumstances were such that it would have been impossible to give him any other name,1,joy
i feel too overwhelmed to clean anything so i just let it all pile up until it makes my whole life feel like it is going to come crashing down around me and i am helpless to stop it,4,fear
i feel that s the one thing i ve enjoyed about tv people have the time to be shocked over kenny powers and then you have time to let go of it and love him later on,4,fear
i can see in myself a lot of the older son i m angry at god the father not giving me what i want even though i feel that i ve been pretty faithful to him though i ve screwed up plenty,1,joy
i feel i can rely on my instincts more than my intellect but im starting to doubt whether my intuition is as keen as it should be,1,joy
i feel so doomed all the time,0,sadness
i remember just knowing you were crazy in love with me without a shadow of a doubt and you made me feel gorgeous always,1,joy
i feel so foolish i admitted,0,sadness
i was feeling quite nervous,4,fear
i want to tell you what im feeling but i dont know where to start i want to tell you everything but im afraid youll break my heart why would something easy be so hard to do,4,fear
i guess she has opened up and known him longer but i cant help feeling a little ignored,0,sadness
i feel very giggly and upbeat even though i feel like i should probably be morose and sombre,1,joy
i feel so neglectful of my new followers but all i care about is that it s cat stevens b day,0,sadness
i am tired of feeling awful,0,sadness
i have the feeling i am going to be tortured tonight,4,fear
i hate when i feel stupid because i dont know these things already,0,sadness
i am on this track i feel good things coming,1,joy
i go to the gym i can t even get my heart rate high enough to feel satisfied thanks to the level of competition i ve experienced in the past couple of years,1,joy
i feel like i should be thrilled and i am but at the same time i feel like crap,1,joy
i know is that afterward i feel a hell of a lot more mellow amp relaxed merely by laughing and the stress of being down in the dumps just melts away,1,joy
i remember when this was all feels the most generous place for charitable donations in the uk is andover thats the last sodding time im having dinner here at the nuclear plant staff canteen,1,joy
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,1,joy
i feel funny about mothers day,4,fear
i have been feeling restless and not quite grounded,4,fear
i feel like most books will contain some kind of romantic undercurrent and while this one did it was a lot more subtle than other books are about it,2,love
i often feel like a child here i speak the language like a child i generally walk around the town confused like a child i have child like relationships with most of the natives and my knowledge of the area and culture is equivalent to a childs,4,fear
i was able to identify the speed in which f could get work done without feeling burdened by the work load,0,sadness
i should do but i think it means that i should always be open to opportunities of inviting and involving others in ministries and that i should be creative in finding ways for others to participate in and feel welcomed into such ministries,1,joy
i feel like its an excuse for being boring as an individual or lack of confidence in your individuality,0,sadness
i take lightly but if youre like me you re probably feeling a little skeptical of product that is being sold on the internet as the way to become successful online,4,fear
i feel a little abused about this whole situation,0,sadness
i feel very disgusted by that i cant tolerated her actions anymore by writing this post,3,anger
im feeling so emotional today,0,sadness
i feel remorseful for my fellow teachers having to go back to work tomorrow,0,sadness
i don t feel victimized,0,sadness
i do not feel bad about it,0,sadness
i had to be transgender and this very brainwashing attempt is now making me feel so horrible as though im trying to deceive physicians here in germany into believing that i am intersex,0,sadness
i have that overwhelming feeling of not being good enough recently,1,joy
im not going to lie some days i feel uber supportive and other days i feel uber frustrated,2,love
i don t want to feel the way i did with you that passionate connection when we were no longer a separate two,1,joy
i feel pleased about this issue there are a lot of beautiful pieces in it for example maggie lees poem titled a href http vol,1,joy
i was going to feel worthless around skinny people while i m humungous,0,sadness
i feel overwhelmed or a little blue usually around that time of the month but i manage those feelings well,4,fear
i feel like federer is more talented player for sure,1,joy
i choose to do and most importantly someone i can vent or just explain how im feeling at the moment whether bummed out ecstatic or anything in between,1,joy
i will definitely be passing on my thanks to these wonderfully gifted people but words alone are difficult to express their awesomness and the feeling of safety when they are caring for us,2,love
i dont know what guys could be doing doused in pain unless he brought a freind into it asasoulawakens i feeli am pretty loyal as part as shoots go,2,love
i feel awkward around them rather then loved i can feel them not wanting to be near me so i let them go i no longer ask for hugs or for comfort,0,sadness
i just really feel content and really don t feel the ne,1,joy
i think and feel its funny its sad its weird but more than any of that its the truth,4,fear
i just know that im feeling so hot now,2,love
i was feeling lethargic hahaha,0,sadness
i am designing games it really makes me feel excited,1,joy
i did however feel amused that she also called famous last words cathartic i think she s one of those people who secretly likes mychem but can t admit it for fear of damaging her music cred,1,joy
im feeling terrible i couldnt feel worse,0,sadness
i would also hate for you to feel i was selfish in my decision,3,anger
i feel as if her call was not a sincere apology,1,joy
i determined to have a read of the backdrop and that old feeling it s been a while since i ve bothered to examine adventure path material almost immediately began to emerge what i would call the take away phenomenon,3,anger
i wonder sometimes how it must feel to be rich,1,joy
im happy there are people in this world that have been so untouched by mental health issues that they feel it is cute to make light the plight of the affected but unfortunately they dont realize the damage they are doing,1,joy
i feel pressured and can not move on to other items in our wedding checklists,4,fear
i feel sexually threatened because some guys can be assholes fuck you of course im going to be a bitch and do whatever i need to do to get my ass out of the situation,4,fear
i feel homesick near to the end of the last week in thailand,0,sadness
i even feel punished lately it s really not like that,0,sadness
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,4,fear
ive been angry and under that anger hurt are not gone but they feel resolved,1,joy
i felt like facebook was a catalyst for me to feel that way about myself and i started to see it as a bit of a hostile online community,3,anger
i secretly feel unimportant anyways and as such find people to disrespect me which might explain why i lend this doucher my time my energy and my body and let his needs get met b my own,0,sadness
i am in true victim style feeling shamed for being me for having ptsd for going to them in good faith and then the symptoms of my trauma showing itself,0,sadness
im feeling sociable again i have a date on monday with someone that wrote to me on there,1,joy
ill write a bunch youll respond and then ill back off in part because i feel shy,4,fear
i pray for those who are feeling unloved and lonely,0,sadness
i am feeling adventurous and extra musical,1,joy
i always loved the blue angels and i feel so privileged and proud to be a blue angel burmeister said,1,joy
i would feel myself being a little bit repressed in my creativity and ideas would not come to me as easily,0,sadness
i feel like we are supporting her lifestyle,2,love
im sure there are a few guys who want some naughty pictures and a feeling of caring and they realize if they shell out some bucks for it then they can get it,2,love
i might have folk over soon if im feeling brave,1,joy
im feeling cute and flirty and bright coloured lipsticks are for when im feeling bold etc,1,joy
i feel overwhelmed with the uncertainties of life the sorrows lurking about the fears eating at peoples peace the sad choices friends make the effects of those sad choices on loved ones broken relationships etc,4,fear
i feel jealous with them why they can,3,anger
i even feel weird living with lay people again,4,fear
i definitely have a ton to learn still and i feel so hopeful about this program,1,joy
i first entered the clinic i feel very welcomed by the beautiful ivory themed furnitures because the whole clinic look very clean spacious and professional and the cheerful consultants awaiting for me at the reception with a smile of course,1,joy
i feel weird,4,fear
i woke up feeling more discouraged than i had in a very long time,0,sadness
i will cry in front of my children and feel overwhelmed without a moment s notice,4,fear
i feel so hated by the man that is suppous to love me forever and ever,0,sadness
ive been feeling an awful lot lately,0,sadness
i feel frightened by it all,4,fear
i do a hobble to the bike rack with one bike shoe on and barefoot on the other side feeling a bit foolish but not too worried,0,sadness
i feel the gentle press of the seed through the soil,2,love
i often feel this is a very unfortunate flaw that i possess,0,sadness
i have never been happier nor feel more accepted in my whole life,1,joy
i dont think i would have touched this book if i hadnt received it for free but once i got past my judgments about the author white people problems entitled rich whining and self delusions i feel like i got something valuable out of this book,1,joy
i feeling so miserable when actually my mum should be the one feeling miserable,0,sadness
i lets me into his fucked up world and he usually does i feel fucked up too and honestly a little scared,3,anger
i feel useless and worthless,0,sadness
i go shopping now i feel reluctant to buy things like that even though its really hard to resist the temptation,4,fear
i sit and remember what longing felt like and what denial feels like it is so strange to think i couldnt have changed my own perspective the experience itself created my view of the world,4,fear
i think i almost made my counsellor cry yesterday because i said it feels like i dont have anyone supporting me,1,joy
i feel tortured the one thing i love is the one thing that wont support me financially but i cringe when i think of spending years chained to a desk performing a job by wrote with little or no room for creativity or for anything else that matters,3,anger
i feel useful again and serves as a reminder that ive come a long way since the first days of vertigo,1,joy
i should have known better if you are traveling with the military and you feel satisfied there is definitely something wrong,1,joy
i have been feeling generally disheartened by my continually plummeting tots score despite the fact that my stats are improving so much,0,sadness
i can drop a great deal of paratroopers on the table at once should i feel the need to do so or conduct other useful air missions,1,joy
i am fucking it up with my pattern of wanting craving addiction to attention and specialness my way of feeling loved by another,2,love
i feel a lot of positive intention behind it,1,joy
i suggest you give it a listen i feel like i am blessed,2,love
i was feeling a little annoyed at some people,3,anger
i do occassionally miss wearing regular earrings but i feel like my plugs have just become such a vital part of who i am that probably sounds so silly and youre rolling your eyes at me now haha,1,joy
i feel hesitant and uncertain sometimes,4,fear
i feel like a blank canvas i have no clue what i am doing right now,0,sadness
im feeling rather inspired yet low i will enjoy my writing and even though i may be writing about morbid things i will find a way to make it interesting to read,1,joy
i feel glad to have mu tou cause only him can tolerate me and give in to me and massage my leg when its cramp up,1,joy
i wonder if they will even think back to the times that i have begged them to just be there for me or just be on my side or just offer me any kind of suppport or the feeling of them caring at all,2,love
when i was years old my father travelled very much for his work he passed three months away from home,0,sadness
i feel honored to wear usa on my back,1,joy
i feel i might have been too gloomy about it,0,sadness
i feel for the people who dont see its worth or are too afraid to discover it,4,fear
i feel so determined this time and i say this time because i have tried every diet under the sun,1,joy
im feeling especially honored as my picks feature alongside some of my favorite designers like diane von furstenberg rodarte and jason wu,1,joy
i have the best conversations and the best time together unlike any ive had before but i feel like being totally in love with him does no good when he could care less about some stupid sophomore,1,joy
i feel extremely lost right now,0,sadness
i don t feel whack or messed up i know i m psychologically fucked up because i can feel the difference but i don t feel like i m as fucked up as i could be,3,anger
i still miss him and feel rather weepy today,0,sadness
i feel tortured when i hear them talk or sing or laugh or cry,4,fear
im just trusting in my feelings and im trusting god above and im trusting you can give this baby both his mothers love,1,joy
ive lived my life trying so hard to be accepted and to feel loved,2,love
i can go from elated laughing to plunging back into my extreme misery at a simple exchange that it feels so dangerous now,3,anger
i always feel awkward,0,sadness
im feeling kinda homesick,0,sadness
im continually feeling triggered im not sure if people are insensitive or if im selfish most likely the latter,1,joy
i stayed for a short while but feeling like he didnt need me anymore and having my own emotional drainage to work through i decided i needed to go home,0,sadness
i returned not feeling rejuvenated but exhausted,0,sadness
im still feeling shaky i realized that i felt intolerably hot all the time which i may mention is the polar opposite of what i normally feel like,4,fear
i cant really understand my feeling cause its a mixture between bitter and a sour one which even i dont get,3,anger
i really have no reason to feel gloomy except for the fact that weve tried many things that should have worked and did not,0,sadness
i feel inspired to get back to my indigo pot,1,joy
i feel wonderful and i m very very grateful for all the support,1,joy
i thought how great it must feel for the author to have created a story that has been so popular and now to come back with the story of the beginnings,1,joy
i did not feel sympathetic as the narrator struggled through her low income life,2,love
ive been feelin cranky about my blog im feeling its still a bit childish for me already i dont know if its the blog itself the address or something else,3,anger
im getting things done that i really need to and i feel good about it,1,joy
i came up with the following i m drawing a blank as to what this is called to help me when i am feeling fearful or attacked,4,fear
i have been feeling agitated about lately,3,anger
i want to find my essence and my substance and not feel so scared and empty and dispersed fragmented etc,4,fear
i sing as one who feels contented with a comfortable life and comfortable christmas that includes general happiness about eternity,1,joy
i wasnt feeling like going on easter holidays i dont even know why at least i hope these days can be very productive for me,1,joy
i am feeling more creative now and am able to think outside the box a bit and am going to attempt a more adventurous eating plan this week,1,joy
i feel rediculous and petty and yet justified,3,anger
i have found both in my own life and from coaching hundreds of people during the past years that one of the main things that makes it hard for us to make good decisions is our feelings especially the unpleasant ones such as sadness rejection fear etc,0,sadness
i feel so empty idk i came home early from school,0,sadness
i feel weepy already,0,sadness
i feel intimidated to go there again at that time for fear it will happen again,4,fear
i wasn t thinking negatively about any of those things often the feeling was benign or actually an excited anticipation,1,joy
earth crake,4,fear
i am feeling brave we will go somewhere further afield like a walk in the woodlands around a farm to the beach or some other full day activity,1,joy
i feel even more regretful that i didnt get to go to her senior presentation,0,sadness
i feel invigorated as i am one,1,joy
i was definitely feeling nostalgic and was a bit sad when one of my favorite exhibitions the hall of ocean life was closed,2,love
i am feeling brave and lucky kind of like my heart is breaking and im falling in love all at the same time,1,joy
i came away filled with admiration inspired by amy s friends feeling honoured to have been there to share a tiny part of their lives,1,joy
i write and share my feelings family events useful products good food exciting trips kitchen endeavors as well as occasional musings,1,joy
i have a feeling she is going to be an amazing artist like her daddy and uncles,1,joy
i feel wonderful monroe said upon the launch of her company im incorporated,1,joy
i feel like he is not so keen on the idea,1,joy
i become more comfortable in this remodeled office i am feeling much gratitude for its wonderful amenities,1,joy
ill explain below two simple techniques you can use to almost instantly feel relief from that aching pain,0,sadness
i feel there are some who still wants us together and i im being rebellious,3,anger
i remember feeling humiliated because of the people in the front seat of the car,0,sadness
i hope someday when i am again in a position to give that i will remember how it feels and be sympathetic and sensitive to others,2,love
i have for myself even when i m feeling crappy,0,sadness
im having trouble coming with words to describe the way i feel im so devoted to it,2,love
i have wonderful family who are constantly on the lookout for me make phone calls for me do pr for me but i feel helpless and folks i am a doer so i always feel like if i cant help myself then,0,sadness
i dont feel as carefree as i used to and this worrys me a tad,1,joy
im getting ready and feeling stressed in general all take a toll on my milk supply and im not producing as much,0,sadness
i do enjoy large bold prints and i suppose its odd im feeling timid about leopard,4,fear
i feel the corners of my mouth curl into a triumphant grin,1,joy
